wl,name,tier,C,H,net,gross,ovh,K,pos,n
A5,GAPBS graph,sata,2,16,16.397115752375655,17.044983612660303,63.25830245581229,0.23815777952893794,75.90257712401133,68526
A5,GAPBS graph,sata,2,24,19.735191028716848,20.43748289463318,49.651010096454044,0.26819324292728547,84.80681552490064,68432
A5,GAPBS graph,sata,2,36,22.334342297497493,23.103486244950577,48.335693865967166,0.3049255172817466,86.35020047411396,68338
A5,GAPBS graph,sata,2,48,24.42233020196368,25.23703408559142,44.31998741712325,0.33112068460230937,87.86853056678976,68244
A6,gem5 sim,nvme,6,6,0.0,0.0,0.0,0,0,68573
A6,gem5 sim,nvme,6,8,3.578890637864476,3.827723281214307,187.54414063047616,0.5295961967538244,62.47502661397343,68573
A6,gem5 sim,nvme,6,12,8.71329529972336,9.015159707066196,102.05586294715275,0.6778594985844789,75.95219332807986,68526
A6,gem5 sim,nvme,6,16,12.302519430920547,12.612432570982277,74.6220556337119,0.7288620377666871,81.71788810086682,68526
A6,gem5 sim,nvme,6,24,17.211090594607096,17.51204350843728,18.431992616180704,0.7611497545008183,89.91845920037409,68432
A6,gem5 sim,nvme,6,36,20.334059031573183,20.70256855688234,16.07801192056794,0.9823816910064679,92.12590359682753,68338
A6,gem5 sim,nvme,6,48,22.657559719648077,23.06146204427764,13.596956668229025,1.1185305667897545,92.80376296817303,68244
A6,gem5 sim,sata,6,6,0.0,0.0,0.0,0,0,68573
A6,gem5 sim,sata,6,8,2.75452671057626,3.827723281214307,808.8638446239585,0.5295961967538244,48.57742843393172,68573
A6,gem5 sim,sata,6,12,7.713241106689609,9.015159707066196,440.1593000577881,0.6778594985844789,63.34238099407524,68526
A6,gem5 sim,sata,6,16,11.275800388675226,12.612432570982277,321.8393419848527,0.7288620377666871,72.12444911420482,68526
A6,gem5 sim,sata,6,24,16.214056111373765,17.51204350843728,79.4958048888338,0.7611497545008183,83.17453822772973,68432
A6,gem5 sim,sata,6,36,19.11321454976666,20.70256855688234,69.34326229687126,0.9823816910064679,85.57318036816997,68338
A6,gem5 sim,sata,6,48,21.3194615421338,23.06146204427764,58.64265665072927,1.1185305667897545,86.96881777152569,68244
A7,DuckDB multi-proc,nvme,3,4,2.1776438851174933,2.343937315993282,129.32983733064015,0.24988341591372779,49.69833867677062,68620
A7,DuckDB multi-proc,nvme,3,6,5.6493872694636815,5.87078770167494,89.80372789238291,0.3406880258994065,61.27192918495618,68573
